10,1,261,203
10,2,261,201
10,3,261,454
10,1,330,320
10,2,330,300
10,3,330,319
10,1,440,508
10,2,440,520
10,3,440,518
11,1,261,478
11,2,261,478
11,3,261,482
11,1,330,272
11,2,330,273
11,3,330,277
11,1,440,347
11,2,440,332
11,3,440,309
12,1,261,168
12,2,261,272
12,3,261,238
12,1,330,245
12,2,330,247
12,3,330,277
12,1,440,325
12,2,440,240
12,3,440,290
14,1,261,135
14,2,261,136
14,3,261,283
14,1,330,289
14,2,330,288
14,3,330,285
14,1,440,149
14,2,440,300
14,3,440,315
15,1,261,112
15,2,261,117
15,3,261,121
15,1,330,118
15,2,330,122
15,3,330,117
15,1,440,320
15,2,440,357
15,3,440,339
16,1,261,249
16,2,261,255
16,3,261,263
16,1,330,286
16,2,330,284
16,3,330,288
16,1,440,299
16,2,440,306
16,3,440,305
17,1,261,131
17,2,261,131
17,3,261,131
17,1,330,165
17,2,330,164
17,3,330,164
17,1,440,214
17,2,440,224
17,3,440,220
18,1,261,210
18,2,261,217
18,3,261,216
18,1,330,252
18,2,330,263
18,3,330,256
18,1,440,528
18,2,440,262
18,3,440,530
19,1,261,132
19,2,261,138
19,3,261,137
19,1,330,189
19,2,330,191
19,3,330,196
19,1,440,322
19,2,440,324
19,3,440,320
1,1,261,223
1,2,261,241
1,3,261,236
1,1,330,334
1,2,330,336
1,3,330,335
1,1,440,386
1,2,440,444
1,3,440,430
20,1,261,129
20,2,261,257
20,3,261,257
20,1,330,163
20,2,330,163
20,3,330,164
20,1,440,552
20,2,440,551
20,3,440,559
3,1,261,714
3,2,261,518
3,3,261,488
3,1,330,265
3,2,330,265
3,3,330,531
3,1,440,336
3,2,440,537
3,3,440,275
5,1,261,130
5,2,261,131
5,3,261,130
5,1,330,143
5,2,330,143
5,3,330,142
5,1,440,156
5,2,440,153
5,3,440,153
6,1,261,96
6,2,261,616
6,3,261,117
6,1,330,123
6,2,330,696
6,3,330,553
6,1,440,170
6,2,440,171
6,3,440,153
7,1,261,92
7,2,261,96
7,3,261,99
7,1,330,102
7,2,330,102
7,3,330,205
7,1,440,124
7,2,440,125
7,3,440,127
8,1,261,201
8,2,261,208
8,3,261,213
8,1,330,336
8,2,330,332
8,3,330,332
8,1,440,436
8,2,440,440
8,3,440,400
9,1,261,395
9,2,261,128
9,3,261,388
9,1,330,366
9,2,330,378
9,3,330,371
9,1,440,392
9,2,440,406
9,3,440,353
