;;;2000;;;;2001;;;;2002;;;;2003;;;;2004;;;;2005;;;;2006;;;;2007;;;;2008;;;;2009;;;;2010;;;;2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022
;;;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал
Вторичный рынок жилья;        Курская область;;3 494.8;3 403.93;3 468.28;3 488.96;4 104.68;3 689.72;3 885.38;4 299.91;5 743.5;5 288;6 125;7 134.5;8 500;8 500;9 250;10 400;;;;;13 314;13 283.2;13 359.6;13 757.2;;;;;21 274.27;22 902.75;25 745.36;27 920.56;31 737.36;33 647.17;35 060.78;33 716.24;31 429.06;29 216.66;28 440.02;28 417.77;28 988.53;28 953.47;28 687.26;28 713.2;28 858.4;29 085.1;29 295.45;30 007.11;31 718.83;32 083.52;33 277.33;34 920.62;36 403.13;36 761.45;37 592.23;38 137.95;39 495.86;40 662.27;41 495.15;42 704.53;43 197.31;42 786.72;42 101.3;41 532.01;40 504.08;39 679.17;39 265.87;38 800.18;38 429.38;37 871.81;37 202.13;37 942.51;38 132.11;38 528.74;38 936.17;40 050.81;41 051.47;41 415.49;41 709.05;41 519.73;42 771.61;44 100.1;45 138.52;48 566.18;53 184.52;55 712.34;59 184.63;63 852.5;68 509.09
Вторичный рынок жилья;        Липецкая область;;4 538.29;4 502.85;4 559.68;4 806.87;5 358.75;5 771.87;6 234.5;7 871.5;7 945.63;8 186.75;8 542.25;9 382;10 996;10 887.25;10 892.78;11 896.63;14 259.53;14 717.37;14 972.03;14 988.6;16 234.31;16 268.3;16 683.56;18 102.57;19 021.98;21 395.13;22 371.27;27 122.6;31 364.16;32 730.82;35 625.02;43 207.26;50 348.41;50 799.14;50 804.59;49 142.66;36 908.83;32 013.42;29 474.43;31 436.32;37 206.21;37 442.32;37 058.06;38 598.99;38 892.89;38 126.13;39 885.08;40 152.02;40 854.54;41 216.23;42 605.56;43 211.77;45 717.91;46 279.23;45 903.59;45 506.72;46 848.85;47 871.51;47 747.37;48 960.45;48 396.24;48 037.51;47 769.44;44 051.25;41 468.64;41 056.39;41 743.51;40 873.63;39 794.17;39 305.94;39 133.28;39 013.12;40 744.53;41 024.67;40 994.83;41 091.44;41 025.64;42 656.44;42 966.85;42 826.59;44 210.03;44 103.47;44 543.85;46 096;56 687.43;56 811.1;57 430.58;57 991.69;70 273.91
Вторичный рынок жилья;        Московская область;;7 152.35;7 119.92;7 026.47;7 460.45;8 388.51;8 509.92;8 510.14;9 225.99;9 765.75;10 992.05;12 049.86;12 670.13;13 695.61;14 642.65;15 045.54;15 863.73;17 387.18;18 138.68;18 542.49;19 283.64;20 612.45;21 543.94;22 743.95;25 360.95;27 595.31;32 465.25;37 538.31;41 201.84;45 616.24;45 733.07;46 675.88;52 818.83;61 775.03;67 111.04;70 651.59;72 825.68;72 148.79;67 903.38;64 652.51;62 344.18;65 740.4;64 327.45;65 223.97;66 364.04;63 885.26;65 359.93;64 313.8;65 895.2;67 452.69;69 126.97;69 456.07;73 760.91;69 167.91;71 142.51;69 827.54;70 245.75;70 699.42;70 868.18;71 449.89;71 975.02;76 716.8;76 818.34;76 683.95;74 505.81;74 712.33;73 243.78;72 366.07;70 401.67;59 196.59;58 268.53;57 701.75;58 452.96;70 805.73;70 786.59;72 401.89;73 916.66;72 308.35;74 208.81;75 301.51;75 537.68;79 238.08;80 258.93;80 586.13;86 617.15;86 477.89;88 778.09;92 824.99;96 274.85;102 363.63
Вторичный рынок жилья;        Орловская область;;4 804.39;4 845.38;4 858.72;4 865.32;5 123.48;5 535.52;6 094.77;7 088.83;7 992.9;8 607.28;8 686.64;9 950.02;9 774.92;10 101.62;10 184.78;10 495.79;10 734.36;11 419.17;11 636.6;12 587.56;13 267.79;13 380.01;13 589.23;14 139.35;14 751.06;15 441.88;16 134.1;17 633.05;19 443.23;21 050.7;22 882.07;25 160.89;28 234.37;31 753.91;32 152.63;32 335.23;30 905.41;27 814.88;27 159.77;27 045.19;28 805.39;29 244.05;29 571.68;28 906.61;28 366.92;28 396.32;28 702.58;29 444.1;28 509.27;29 421.26;30 104.42;31 421.88;33 086.63;33 378.2;34 530.95;35 794.12;37 035.94;37 554;37 479.76;37 747.25;35 604.24;35 701.39;35 901.65;35 207.47;35 342.34;34 994.04;32 666.19;32 356.63;32 940.84;33 390.16;33 992.8;33 183.67;34 137.52;34 459.45;35 895.7;36 919.26;36 574.77;37 993.81;39 745.05;38 427.34;39 242.55;38 666.87;39 121.85;39 474.3;44 429.21;48 559.88;50 391.14;53 502.82;64 404.37
Вторичный рынок жилья;        Рязанская область;;5 177.87;5 197.13;5 297.94;5 611.1;5 828.31;6 387.97;7 312.94;8 964.04;9 264.19;9 585.98;10 181.17;10 643.62;11 257.04;11 335.3;11 514.41;11 889.19;12 477.98;13 337.57;15 600.98;16 316.33;16 571.46;17 617.9;18 409.96;19 381.8;20 271.06;21 494.79;26 529.76;32 015.33;34 640.66;35 334.43;36 787.43;38 004.58;38 037.77;39 636.17;41 188.15;41 611.92;40 156.76;38 999.88;36 239.77;34 963.4;37 553.78;38 025.47;39 343.47;39 676.57;40 143.21;40 660.2;40 677.3;40 136.1;42 142.24;42 814.49;44 490.58;45 384.38;44 794.92;45 032.45;44 647.26;45 076.95;46 690.69;46 765.42;46 838.3;47 228.21;48 206.67;48 797.54;46 524.39;44 454.68;42 481.49;41 481.55;41 373.85;41 152.35;40 556.99;40 955.67;40 762.78;42 014.69;41 611.58;42 037.61;41 425.94;41 989.58;42 658.71;39 883.09;44 036.21;44 405.46;45 639.07;42 913.29;45 757.17;47 413.27;52 280.67;52 723.72;59 237.58;61 860.68;66 779.22
Вторичный рынок жилья;        Смоленская область;;5 034.92;5 034.48;5 028.07;5 028.07;5 225.18;5 463.58;5 770.13;5 923.09;6 921.6;6 948.71;7 309.83;7 804.03;8 291.16;8 340.64;9 341.64;10 306.97;10 501.65;11 230.73;12 272.36;12 271.91;12 828.41;13 528.48;14 781.79;16 159.95;17 364.23;18 461.1;20 108.34;24 238.7;27 036.35;27 665.18;28 120.19;28 864.14;33 286.11;34 911.4;37 043.71;35 609.14;33 433.14;31 826.82;30 295.1;28 910.63;28 750.91;28 233.14;27 439.07;28 981.19;30 322.73;31 392.19;33 832.7;34 340.01;33 502.73;34 423.91;34 623.73;36 808.53;33 033.93;32 934.17;33 196.65;33 887.11;35 876.1;37 338.61;36 828.67;35 923.44;39 631.98;38 810.57;36 361.37;36 228.15;36 467.92;36 347.05;35 716.32;34 420.3;35 533.26;35 676.48;35 241.09;36 187.14;32 801.56;31 713.09;31 960.37;33 361.11;34 001.75;34 824.2;33 304.44;33 935.56;32 547.92;32 161.7;33 866.58;35 430.4;38 352.31;34 655.14;40 502.57;41 470.39;48 570.01
Вторичный рынок жилья;        Тамбовская область;;4 357.94;4 317.35;4 331.87;4 453.35;4 781.81;4 845.17;5 177.92;5 823.44;6 481.69;7 482.21;8 094.41;9 212.33;9 606.55;9 950.3;10 242.7;10 443.69;10 758.62;10 667.06;11 060.82;11 342.73;11 890.62;12 600.03;13 061.88;13 826.31;14 926.08;16 120.61;18 593.35;22 509.42;24 099.98;25 781.37;27 908.53;28 371.97;32 558.37;31 991.14;33 863.86;34 247.22;33 341.73;30 181.72;29 483.71;29 265.17;29 664.54;29 504.93;28 946.44;29 232.08;28 382.58;30 561.32;30 037.9;31 370.82;30 530.09;31 311.96;34 630.61;34 906.63;33 684.88;36 254.59;36 583.43;38 759.29;40 060.33;43 007.53;43 351.18;44 098.74;42 501.46;43 109.34;41 475.88;41 358.35;40 747.08;40 523.79;40 253.27;39 974.61;37 237.33;36 682.63;36 383.34;36 082.28;35 937.19;35 556.68;35 381.46;35 316.14;35 338.34;35 326.53;35 200.8;35 393.93;35 666.94;39 467.88;39 449.59;39 787.69;44 486.45;44 202.19;44 343.72;45 172.97;72 928.49
Вторичный рынок жилья;        Тверская область;;5 165.55;4 920.13;5 163.09;5 481.55;5 872.19;6 000.05;6 688.99;7 364.76;8 361.75;8 774.38;9 008.05;9 097.44;9 559.83;9 838.51;10 495.8;11 567.1;13 759.06;15 545.78;16 168.72;16 542.48;16 843.14;17 474.89;17 873.64;18 631.64;20 046.67;25 412.98;28 833.89;30 345.09;30 809.2;32 204.43;33 360.97;37 512.48;51 580.95;54 478.24;53 757.61;48 545.75;45 836.09;42 247.03;41 576.74;42 651.86;46 350.19;46 335.68;48 189.36;48 031.43;47 283.04;46 776.26;47 735.74;49 748.41;51 053.58;51 319.88;52 144.17;52 601.77;54 257.79;53 415.24;52 193.43;52 413.18;53 625.04;52 814.66;52 286.36;53 613.95;52 840.85;51 406.05;50 692.18;50 333.81;48 251.36;47 641.67;47 563.55;47 448.56;47 180.09;45 209.96;45 325.77;44 794.82;44 415.14;44 067.69;44 286.79;45 624.1;46 428.21;47 191.7;47 803.29;47 860.94;49 507.45;49 501.6;50 084.56;52 938.69;56 996.07;60 180.9;62 073.82;72 941.8;83 363.67
Вторичный рынок жилья;        Тульская область;;4 823.35;4 978.12;4 945.51;4 962.65;5 096.9;5 200.38;5 344.79;5 574.8;6 344.51;6 445.63;7 286.26;7 712.2;8 561.96;8 773.78;8 931.08;10 047.31;12 622.61;13 250.01;14 487.63;15 020.32;16 320.53;16 447.88;16 894.41;17 646.94;17 005.84;18 079.86;20 120.12;22 293.8;25 035.4;26 988.24;27 858.93;30 261.41;34 843.44;36 411.75;38 330.64;38 574.04;38 274.37;37 808.07;37 157.59;37 268.91;40 156.88;40 012.84;39 978.5;40 116.07;37 340.63;38 101.67;38 047;38 380.22;39 176.35;39 581.26;40 034.91;40 455.31;42 413.24;43 519.14;43 124.57;43 746.97;43 031.71;43 463.69;44 759.41;45 615.14;50 799.28;50 702.98;50 236.04;47 949.14;48 770.77;46 968.63;47 837.14;48 578.15;48 991.36;46 989.57;47 910.93;48 628.59;49 159.19;48 744.87;50 917.3;51 429.46;52 658.93;53 101.25;53 390.54;53 751.19;53 321.02;54 152.4;53 773.38;57 818.74;72 487.51;74 098.5;74 618.82;74 740.91;81 468.88
Вторичный рынок жилья;        Ярославская область;;5 431.98;5 469.42;5 682.64;6 503.25;7 178.43;7 693.57;8 205.06;9 576.52;11 514.89;11 974.14;12 187.89;13 719.4;13 252.67;13 388.7;13 460.08;13 526.17;15 180.91;17 566.9;17 865.31;18 417.52;18 504.33;19 383.44;19 347.92;19 766.47;18 931.64;20 736.36;23 793.15;33 301.94;37 068.28;36 872.89;36 705.49;36 917.62;40 622.38;42 880.58;46 022.18;45 517.57;44 727.21;40 710.28;37 543.6;37 235.91;39 510.21;39 959.9;39 935.36;39 903.65;38 972.83;39 288.33;40 754.49;43 670.63;42 652.01;44 496.23;46 189.88;49 748.79;51 280.37;53 524.21;52 603.88;52 439.47;55 686.97;55 396.99;55 012.54;52 743.8;51 647.55;50 878.54;48 730.31;48 356.19;49 140.4;48 213.13;46 647.04;43 692.49;44 530.98;45 192.84;44 730.29;43 954.73;44 631.6;44 574.81;44 611.79;44 537.38;46 471.67;46 471.67;49 951.13;49 898.7;48 656.89;45 771.17;46 300.85;46 434.22;69 760.67;71 299.98;72 199.21;73 298.33;62 848.76
