;;;2000;;;;2001;;;;2002;;;;2003;;;;2004;;;;2005;;;;2006;;;;2007;;;;2008;;;;2009;;;;2010;;;;2011;;;;2012;;;;2013;;;;2014;;;;2015;;;;2016;;;;2017;;;;2018;;;;2019;;;;2020;;;;2021;;;;2022
;;;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал;II квартал;III квартал;IV квартал;I квартал
Вторичный рынок жилья;        Чеченская Республика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11 342.21;;;;;19 346.68;18 999.57;18 796.39;18 808;20 253.11;19 701.91;19 683.23;19 668.23;26 336.22;26 843.37;26 642.87;26 639.44;24 278.97;24 529.17;24 552.75;24 628.75;31 991.83;33 014.42;34 079.27;34 448.08;37 017.18;37 682.23;37 877.71;38 663.36;40 316.82;41 323.36;42 160.5;42 549.19;43 293.53;43 435.38;44 084.12;44 068.71;43 985.48;44 093.68;44 118.79;44 197.87;44 634.85;44 620.93;44 643.99;44 929.21;44 455.75;44 376.81;44 953.47;45 037.22;46 484.68;46 538.03;46 789.94;46 856.8;51 836.54;53 655.61;54 003.02;54 416.06;61 082.18
Вторичный рынок жилья;        Ставропольский край;;3 789.69;3 812.01;3 792.65;3 970.13;3 941.46;4 190.6;4 384.88;4 865.94;5 606.96;5 767.91;6 322.09;6 488.69;8 352.16;8 483.41;8 556.72;8 763.07;10 478.24;10 579.36;10 836.17;11 107.55;12 538.97;12 924.38;13 254.8;13 468.54;15 027.3;15 417.83;15 717.84;16 437.84;18 669.53;19 519.88;21 415.11;22 934.63;28 984.33;31 271.8;31 674.76;31 918.66;37 242.22;35 719.33;34 521.52;33 983.53;31 114.14;30 818.25;30 627.07;30 495.9;28 235.86;27 527.9;27 376.2;27 858.82;27 637.56;28 380.97;29 315.11;29 679.21;29 898.88;30 353.28;30 645.6;31 264.25;32 826.05;33 216.85;33 708.37;34 152.86;33 180.29;32 734.56;34 212.37;33 426.04;35 650.82;35 382.34;36 410.19;36 219.38;35 876.15;35 332.99;35 582;35 858.95;36 686.11;36 332.49;36 316.78;36 574.38;39 665.5;39 571.09;41 502.72;41 510.66;43 081.73;42 561.22;42 869.84;43 795.76;46 143.93;44 662.86;45 802.62;46 574.85;56 715.55
Вторичный рынок жилья;    Приволжский федеральный округ;;5 023.29;5 184.48;5 400.78;6 206.34;6 688.63;7 073.06;7 460.61;8 132.8;8 784.9;9 183.27;9 643.03;10 088.73;10 669.4;10 925.12;11 177.4;11 612.88;12 428.19;13 154.47;13 869.13;14 676.04;15 663.96;16 187.67;16 829.18;17 913.96;20 414.82;22 188.39;25 023.68;30 058.78;33 280.15;35 076.63;36 308.64;37 640.04;39 714.89;40 446.36;41 137.44;40 908.16;38 910.42;36 919.66;36 015.4;35 656.13;36 427.88;36 366.24;36 608.14;36 988.03;36 385.25;36 773.47;37 340.2;38 285.09;40 016.02;41 464.22;43 082.94;44 554.75;46 637.92;47 114.48;48 144.49;48 652.25;48 927.41;49 583.79;50 039.2;50 789.37;51 847.55;51 375.21;51 045.41;50 200.58;50 078.29;49 236.09;48 820.71;48 613.18;45 738.84;45 244.6;45 083.32;44 929.76;46 328.93;46 675.91;47 120.37;47 507.66;48 896.38;49 349.81;50 171.25;50 632.67;51 668.51;52 199.72;53 386.45;55 101.32;57 481.89;59 300.62;61 162.15;64 748.11;80 751.48
Вторичный рынок жилья;        Республика Башкортостан;;5 841.55;6 366.31;6 632.74;8 611.55;9 716.34;10 082.52;10 378.03;10 726.74;11 687.25;11 991.67;12 451.66;12 859.07;13 151.86;13 241.88;13 184.42;13 530.72;15 023.74;16 949.07;17 904.71;19 151.9;21 050.45;21 771.09;22 696.38;26 617.35;30 641.45;35 434.44;41 589.54;47 814.07;45 807.83;45 669.52;44 032.07;42 796.65;44 531.79;44 189.05;44 557.66;43 733.11;41 161.02;37 683.02;37 078.41;36 813;37 198.72;37 089.57;37 895.93;39 063.87;40 099.78;40 541.29;41 252.7;43 011.31;43 718.97;46 101.52;48 251.75;49 523.95;51 446.6;51 723.98;52 599.34;53 173.84;54 998.68;55 717.72;56 672.23;57 087.47;57 889.83;55 742.35;54 921.55;53 558.42;54 924.66;52 393.15;50 973.64;49 859.45;49 752.28;48 883.7;48 767.11;48 767.53;51 565.69;52 330.56;53 075.54;53 282.54;57 206.48;57 505;58 213.65;58 410.49;59 398.52;59 287.11;60 282.95;61 404.63;63 410.76;64 936.06;67 665.96;72 175.36;77 804.89
Вторичный рынок жилья;        Республика Марий Эл;;2 665.65;2 678.98;2 674.23;3 082.48;3 733.92;4 237.55;4 531.64;5 306.87;5 754.16;6 716.21;6 952.53;7 625.26;8 562.82;8 961.16;9 364.63;9 865.42;10 001.09;10 181.37;10 428.87;10 854.31;12 069.57;12 582.64;13 673.95;15 217.5;16 396.09;18 383.78;21 217.72;25 654.64;26 916.14;27 685.71;28 106.27;30 027.52;32 359.66;32 977.39;33 861.97;33 758.67;31 477.41;28 826.69;28 763.64;28 887.33;29 007.85;29 012.2;29 410.37;30 819.95;31 962.98;32 079.43;32 951.74;34 427.19;34 574.76;35 471.07;37 506.8;38 737.26;40 923.82;40 795.92;41 169.94;41 487.04;41 356.66;40 866.24;41 131.68;41 939.88;41 950.83;41 551.27;41 096.92;40 676.54;40 362.89;39 698.59;39 363.24;39 136.37;38 643.16;38 011.14;37 300.65;36 748.94;36 918.52;36 788.57;36 497.37;36 969;37 356.81;37 109.38;37 346.65;37 539.08;38 038.99;38 447.28;38 809.1;40 056.47;40 740.84;42 058.33;44 145.11;46 776.7;54 256.86
Вторичный рынок жилья;        Республика Мордовия;;2 808.11;2 808.11;2 832.49;2 832.49;3 858.54;4 422.2;4 651.59;5 237.1;5 479.29;5 711.56;5 825.1;6 192.32;8 996.72;9 606.65;9 458.27;10 048.12;11 318.05;11 808.64;13 238.21;15 435.47;18 101.2;17 392.15;17 568;19 159.49;18 532.62;18 643.79;19 007.73;20 187.74;24 580.93;25 315.19;29 356.54;34 933.02;38 486.44;40 356.53;41 682.42;42 102.8;34 989.26;31 568.05;30 884.02;30 103.12;30 826.06;30 716.64;30 888.19;31 092.17;31 583.22;31 590.6;31 877.77;33 834.31;32 847.01;33 582.92;34 014.22;35 477.88;35 679.61;36 005.51;37 265.22;37 876.44;40 598.1;42 245.42;42 894.72;44 521.7;42 814.44;42 302.42;41 673.53;41 659.57;39 053.08;36 207.92;35 841.47;34 930.62;33 534.53;33 383.23;34 212.09;34 001.57;38 725.96;38 729.17;38 689.75;39 137.26;40 228.74;39 671.95;39 660.29;39 595.58;40 971.48;41 009.55;42 060.15;42 530.79;44 157.21;45 404.67;45 945.19;46 810.05;64 336.02
Вторичный рынок жилья;        Республика Татарстан (Татарстан);;5 274.22;5 470.5;5 551.99;6 220.5;6 552.89;7 083.01;7 285.52;8 389.29;8 614.39;9 165.93;9 788.9;10 196.43;10 810.74;11 146.63;11 542;11 930.3;12 265.5;12 976.03;13 813.36;14 753.5;15 740.76;16 153.59;16 928.63;17 854.56;18 819.61;20 311.21;24 225.82;31 667.46;32 947.01;33 391.37;33 896.08;35 133.83;37 683.17;38 277.17;38 592.09;38 076.49;36 363.31;35 540.26;34 038.33;33 168.9;38 198.93;38 102.39;37 922.53;38 202.63;35 021.77;35 376.88;37 039.68;38 386.57;39 570.59;42 614.14;44 186.12;46 436.97;54 571.91;53 754.68;55 521.7;55 828.61;53 846.02;55 432.17;55 489.6;56 456.8;59 720.82;59 324.88;58 935.44;56 868.27;59 517.07;59 726.04;59 454.83;59 748.22;56 337.15;55 019.5;55 799.67;55 640.66;58 796.6;60 455.77;61 454.56;62 031.18;66 315.95;69 325.77;71 274.4;72 225.99;73 434.26;73 425.02;75 135.16;80 301.98;87 576.19;91 450.42;92 413.06;96 692.73;117 191.35
Вторичный рынок жилья;        Удмуртская Республика;;3 363.9;3 695.96;4 005.41;5 839.93;6 592.84;7 245.07;7 379.04;7 596.85;9 462.45;9 884.98;10 395.8;10 794.69;11 817.63;12 618.83;12 735.87;13 323.1;14 275.96;14 903.55;15 395.63;16 051.67;17 071.62;17 464.7;18 236.44;18 989.25;19 826.85;22 094.46;26 881.32;34 640.73;34 764.67;36 131.54;35 512.81;36 585.34;36 788.94;36 929.42;36 660.7;36 532.23;34 630.87;34 193.1;32 669.01;32 489.74;32 233.88;32 287.59;32 364.01;32 514.92;31 288.08;31 377.52;31 621.5;32 920.02;36 770.76;37 452.75;38 455.44;39 488.27;40 196.32;40 276.4;41 436.55;42 515.14;44 078.38;44 246.06;44 514.79;44 733.37;45 574.88;44 969.13;45 742.73;45 828.27;45 277.86;44 267.52;44 336.77;43 654.8;43 634.86;44 139.73;43 602.23;44 570.08;44 571.16;44 657.41;44 892.28;44 958.76;46 663.59;46 410.72;47 582.45;47 527.11;49 801.79;49 857.52;50 423.99;51 687.48;55 187.06;56 809.49;58 151.86;60 660.6;63 668.3
Вторичный рынок жилья;        Чувашская Республика - Чувашия;;3 695.29;3 841.82;4 024.01;4 621.67;5 179.23;5 589.74;6 024.31;7 069.97;7 287.14;7 680.35;8 083.86;8 343.21;8 269.23;8 421.38;8 682.8;9 167.11;10 215.45;10 894.89;11 778.86;12 722.79;14 150.01;14 687.21;15 271.51;15 657.8;17 331.41;17 897.64;18 825.1;27 772.52;30 904.57;32 052.51;33 610.76;34 200.02;34 737.32;34 694.53;34 490.03;33 216.14;31 368.37;29 253.68;28 908.63;28 870.19;28 710.32;28 815.23;28 921.67;29 279.07;30 010.02;31 013.09;30 909.15;31 474;31 495.28;34 307.9;35 669.37;35 713.83;37 667.4;38 123.59;40 108.58;40 482.5;41 486.32;41 874.44;41 975.57;42 322.13;42 536.62;42 738.41;42 914.57;41 173.24;40 712.99;40 396.48;39 783.84;39 050.65;38 234.98;37 804.85;37 390.25;37 007.2;35 613.64;35 531.78;35 043.51;36 493.15;38 728.55;39 017.43;38 087;40 081.86;44 014.52;46 505.97;47 282.02;47 439.93;47 335.94;49 874.01;51 680.61;59 521.16;68 314.3
Вторичный рынок жилья;        Пермский край;;4 834.99;5 053.31;6 087.14;8 314.85;8 971.68;9 442.25;10 072.08;10 795.82;11 290.78;11 352.39;11 551.12;11 601.05;10 622.33;10 671.58;10 716.96;10 825.24;11 017.99;11 740.56;12 368.58;13 152.39;14 094.59;15 531.97;15 999.82;16 699.29;20 925.32;22 634.91;24 674.99;26 287.02;38 846.42;41 965.42;45 071.99;46 630.51;47 756.03;48 358.48;49 801.45;48 896.31;36 249.65;30 472.18;30 112.23;30 690.52;33 576.78;33 370.95;34 086.14;34 901.56;35 763.07;35 881.06;36 790.85;37 703.39;42 697.78;43 623.11;45 707.64;47 290.45;43 889.06;44 096.97;43 759.77;43 959.64;41 000.12;41 274.73;41 497.41;41 737.33;42 209.37;41 865.73;40 965.07;40 212.35;44 199.41;43 210.67;43 019.83;41 859.86;41 975.26;41 753.19;42 217.19;42 469.65;51 842.17;53 129.88;52 976.37;53 366.01;57 429.38;57 357.67;57 236.12;58 015.52;56 124.44;57 627.52;61 957.35;64 795.39;62 114.4;63 157.76;63 752.28;65 105.7;80 722.32
Вторичный рынок жилья;        Кировская область;;3 757.93;3 939.89;4 198.88;4 706.59;5 228.53;5 530.1;6 628.83;7 613.95;8 182.99;8 458.02;8 716.92;8 918.58;10 263.87;10 353.18;10 650.9;11 064.41;12 084.15;12 380.87;12 883.75;13 657.57;14 480.31;15 109.27;16 032.3;16 810.44;20 290.2;21 411.54;22 504.5;24 919.09;29 943.24;31 574.18;32 979.99;33 925.42;34 137.47;34 751.7;35 247.58;34 585.33;35 028.76;33 825.59;32 760.67;33 097.89;31 221.8;31 229.16;31 340.12;31 502.16;33 718.69;33 903.53;34 773.34;34 973.96;35 386.28;37 199.81;38 663.89;40 618.25;43 019.96;43 461.22;45 084.44;44 934.25;43 382.45;43 919.51;43 393.25;44 241.25;45 874.64;46 787.47;45 375.33;42 975.6;42 066.02;41 018.8;40 562.51;40 247.49;40 976.21;40 511.71;40 208.1;40 372.19;38 178.33;37 714.53;38 257.37;38 129.24;39 326.24;39 988.23;40 038.01;39 274.15;44 159.59;42 955.25;44 513.85;46 430.36;46 781.48;48 377.04;49 524.33;57 937.32;61 990.79
Вторичный рынок жилья;        Нижегородская область;;5 776.18;5 791.72;6 119.7;6 299.09;6 418.82;6 622.01;6 857.34;7 601.26;7 777.74;8 270.74;8 591.54;9 157.71;10 656.38;11 072.71;11 487.6;12 147.32;13 085.44;14 214.23;15 430.16;16 385.02;16 525.08;16 778.25;17 160.06;17 645.43;18 569.12;19 407.25;23 638.5;36 405.41;38 409.31;39 968.42;40 917.77;42 353.59;42 969.14;45 289.91;46 625.19;47 416.48;45 120.31;43 302.12;41 254.97;40 730.73;42 073.34;42 411.07;42 993.61;43 509.61;44 413.62;44 966.82;45 760.67;46 497.31;48 933.43;50 424.79;52 976.24;55 263.02;57 988.56;58 612.01;60 093.42;60 919.14;61 626.28;62 716.32;63 907.68;65 511.47;66 797.19;66 566.62;66 698.16;65 855.59;65 021.27;64 483.2;64 341.33;64 593.57;63 215;63 244.49;62 121.51;61 155.39;60 889.35;60 946.66;61 326.69;61 728.54;62 775.06;63 435.32;65 038.55;65 518.95;65 653.48;66 291.53;67 664.66;70 620.59;79 494.88;83 443.15;87 039.42;91 688.87;97 853.16
Вторичный рынок жилья;        Оренбургская область;;4 172.48;4 522.47;4 560.96;4 979.06;5 326.83;5 867.92;6 295.1;6 461.92;7 720.77;8 022.93;8 331.12;8 416.1;9 407.16;9 418;9 513.67;9 707.33;9 982.14;10 460.58;10 623.65;11 219.58;12 200.28;12 684.76;13 364.49;14 554.43;18 331.71;19 806.45;21 128.87;22 136.26;24 494.71;27 334.65;28 022.96;30 440.01;32 917.46;33 877.65;35 008.44;34 872.95;36 725.11;34 800.37;34 356.82;34 401.21;35 446.92;35 358.47;35 695.57;36 302.31;36 697.92;37 036.13;37 420.58;38 832.48;37 322.71;39 985.91;40 431.48;41 577.72;43 767.89;44 343.09;45 920.91;45 760.61;46 842.86;47 215.31;45 939.84;46 805.19;45 675.81;45 168.92;43 968.45;43 704.82;41 701.75;40 468.2;39 370.55;39 574.36;38 695.97;38 149.08;38 212.31;37 594.34;38 960.32;39 044.27;39 445.57;39 875.06;41 874.7;41 147.89;40 980.94;40 706.83;41 433.47;42 062.19;42 328.7;42 839.47;39 391.79;39 764.76;39 654.81;40 085.92;40 321.99
Вторичный рынок жилья;        Пензенская область;;3 512.2;3 513.41;3 551.96;3 673.25;4 048.55;4 136.21;4 413.97;4 914.01;6 794.78;7 010.34;7 981.98;9 059.02;9 704.91;10 045.91;10 397.49;10 889.26;11 030.19;11 404.42;12 397.09;12 664.43;13 564.5;13 664.38;13 789.5;13 954.07;15 031.57;15 352.19;16 483.42;18 290.22;23 877.7;27 500.66;31 014.79;32 053.32;35 829.36;36 186.63;36 796.05;37 313.18;37 543.66;36 934.6;36 043.48;35 027.54;31 831.06;31 547.96;31 733.92;32 089.26;33 127.44;33 677.25;33 576.5;34 104.5;33 572.45;34 476.36;34 558.99;36 407.15;37 486.99;39 430.34;39 746.61;39 860.73;40 704.8;41 015.2;41 042.72;41 359.07;43 039.38;42 167.59;41 633.32;40 086.03;39 024.38;38 840.01;39 696.41;38 523.11;38 881.2;39 080.01;38 515.15;38 405.19;39 225.55;39 963.33;40 148.12;40 607.72;40 177.43;40 848;41 580.46;42 003;41 830.18;43 094.12;44 440.43;45 738.64;45 664.88;46 403.18;55 489.1;57 554.32;56 680.33
Вторичный рынок жилья;        Самарская область;;7 555.95;7 512.59;7 373.25;7 496.95;7 789.85;8 154.98;8 782.86;9 288.2;10 037.76;10 838.03;11 320.74;12 360.28;12 412.71;12 748.28;13 036.79;13 353.24;14 652.03;14 831.01;14 942.49;15 408.15;16 656.95;17 209.93;17 959.2;18 407.72;25 825.03;28 293.87;30 587.24;33 590.92;38 996.25;42 962.08;44 275.67;46 972.92;50 540.14;50 806.59;51 276.34;51 388.17;52 519.25;50 698.95;50 251.12;49 195.15;48 350.71;47 829.64;47 380.94;46 933.28;39 938.68;40 738.06;40 983.35;41 939.74;45 503.53;46 122.01;46 733.29;47 705.02;49 350.96;50 463.13;50 537.48;49 886.34;51 646.72;51 093.82;51 643.68;51 330.12;55 643.41;54 092.93;54 103.13;52 957.29;51 811.47;51 226.66;49 656.73;49 065.32;44 202.57;43 952.69;43 852.15;44 423.35;42 940.11;43 051.32;43 647.14;44 224.19;45 914.96;46 112.17;47 034.48;47 493.66;48 217.07;48 446.87;50 326.78;50 176.02;51 618.74;53 344.92;56 049.68;57 698.7;73 081.58
Вторичный рынок жилья;        Саратовская область;;4 853.94;4 876.6;4 934.13;5 493.78;5 771.73;6 016.15;6 246.91;7 154.99;7 365.66;7 368.22;8 120.42;8 329.56;8 922.93;9 038.25;9 612.74;10 429.73;11 725.14;12 053.1;12 921.73;13 387.1;13 724.12;13 882.08;14 574.28;15 179.78;15 255.68;16 604.11;17 115.97;17 513.84;18 422.6;19 760.36;23 249.85;24 103.58;27 920.82;29 394.53;30 084.45;29 635.5;31 432.66;31 215.45;30 761.42;30 880.68;31 068.48;31 157.99;31 537.2;32 009.23;30 074.65;30 150.52;30 485.62;31 265.44;31 703.88;32 269.86;33 018.99;33 321.68;35 805.1;36 488.08;37 333.65;38 391.16;38 556.7;39 363.45;40 524.47;41 384.17;41 830.05;41 381.03;40 999.37;40 448.67;39 854.21;39 461.65;39 089.87;39 048.84;38 594.44;38 039.9;38 310.45;38 107.25;36 040.63;36 103.32;36 737.26;37 062.64;37 450.33;37 775.79;38 292.7;39 369.58;39 284.42;41 083.24;42 218.4;42 776.32;44 552.19;45 288.51;46 295.19;50 386.49;62 828.65
Вторичный рынок жилья;        Ульяновская область;;3 416.18;3 491.97;3 590.57;3 787.37;4 054.41;4 443.49;4 815.14;5 466.96;6 093.49;6 735.74;7 264.24;7 611.85;8 246.51;8 413.81;8 707.37;9 115.05;9 127.1;9 443.85;9 838.38;10 588.52;11 083.51;11 928.84;12 262.36;12 886.99;13 453.31;13 928.09;15 385.84;18 191.07;22 853.87;25 557.23;27 171.36;29 463.95;31 616.13;31 981.54;32 842.98;33 005.08;31 946;31 043.53;30 332.63;29 558.01;29 119.26;29 038.93;30 359.51;30 998.87;31 436.52;32 249.88;32 731.58;33 289.82;33 385.89;34 007.45;35 087.86;35 721.58;36 827.42;37 361.38;38 075.7;38 790.71;41 397.26;42 036.6;42 462.39;43 117.51;43 497.12;43 759.32;43 875.02;44 060.67;43 536.7;42 705.41;42 837.88;42 986.88;43 060.43;41 418.44;41 682.49;41 696.76;42 105.28;42 194.38;42 413.67;42 625.93;42 450.97;42 735.3;43 484.68;43 803.99;43 011.46;42 927.77;43 759.15;45 587.39;48 713.5;49 612.8;51 966.93;52 687.05;56 300.42
Вторичный рынок жилья;    Уральский федеральный округ;;4 779.24;4 887.27;5 279.95;5 911.86;7 328.62;8 162.03;9 509.02;10 561.95;10 945.71;11 789.59;12 145.38;12 323.82;12 760.49;12 745.98;12 980.01;13 197.69;13 399.93;14 213.47;15 043.46;15 941.84;18 333.47;19 126.19;21 040.82;22 655.9;23 220.65;24 537.86;27 405.64;31 855.8;38 325.74;39 644.71;40 949.79;42 206.02;43 587.2;44 221.7;44 765.54;44 401.35;42 800.97;41 180.13;39 563.7;39 036.34;40 838.84;40 599.69;40 650.27;41 225.19;42 341.55;42 854.69;42 879.97;44 883.11;53 447.19;54 777.81;55 999.43;56 512.6;53 347.82;53 894.09;54 234.06;54 748.05;57 038.69;58 736.06;58 977.52;58 935.42;61 487.47;60 623.32;58 814.59;57 571.4;56 760.03;55 505.71;54 482.75;54 328.18;53 516.81;54 176.57;52 627.66;53 021.68;55 289.38;55 255.65;55 334.83;57 439.12;58 732.11;58 887.16;59 294.56;59 668.09;61 662.76;61 366.61;62 956.7;64 725.69;67 506.72;70 343.47;71 048.89;74 260.77;80 743.81
Вторичный рынок жилья;        Курганская область;;3 441.89;3 555.08;3 886.83;4 871.73;4 388.34;4 658.38;4 970.16;5 474.38;6 000.92;6 982.31;7 261.3;7 252.83;7 116.36;7 026.78;7 054.19;7 497.85;7 897.8;8 435.04;9 041.6;10 590.9;12 137.01;13 402.77;13 855.86;14 313.72;16 503.12;16 506.22;17 452.73;17 680.52;20 021.25;22 157.37;27 380.55;30 167.73;35 549.82;36 301.71;36 671.56;35 973.71;37 131.89;33 155.84;31 583.21;31 819.51;30 973.96;30 567.97;30 172.05;30 973.79;33 993.16;33 707.16;32 781.98;34 631.34;35 056.74;36 612.41;37 315.55;38 760.5;41 130.29;41 997.59;41 854.47;41 240.16;42 057.78;41 854.74;42 139.36;42 325.22;40 909.34;40 542.67;39 777.68;39 110.09;37 798.21;37 588.58;37 537.57;36 642.96;35 905.49;35 560.39;35 820.3;36 088.34;35 949.04;35 961.97;36 239.1;36 181.46;35 205.13;35 843.66;35 920.73;36 005.29;37 356.97;38 341.03;37 729.15;37 890.3;41 576.26;41 627.78;42 949.25;44 393.06;48 920.94
Вторичный рынок жилья;        Свердловская область;;5 424.34;5 428.62;5 696.26;6 558.7;8 504.24;9 603.89;11 664.41;12 914.45;12 492.39;13 811.71;13 961.59;14 262.05;14 722.58;14 635.99;14 684.74;14 419.27;14 696.32;15 823.48;16 898.24;17 705.74;20 691.81;21 875.58;22 980.93;23 816.24;24 522.96;25 789.02;27 044.25;32 434.86;42 914.48;44 066.55;45 564.43;47 009.13;51 047.53;51 334.54;51 159.81;50 535.88;47 990.46;46 650.2;44 339.54;43 336.96;45 216.44;44 907.81;44 771.31;45 149.97;43 955.41;44 914.96;44 760.45;47 745.41;57 358.09;58 849.42;60 162.64;60 221.36;56 518.9;56 392.81;56 727.99;57 592.32;60 204.25;60 810.6;61 438.37;61 948.51;64 432.15;63 438.8;60 364.29;59 445.75;59 956.4;57 956.66;57 157.47;57 054.83;59 236.53;58 774.27;57 876.46;58 948.51;60 934.11;61 348.37;61 568.63;62 818.51;64 367;65 055.13;65 043.2;65 216.11;64 519.24;63 714.45;65 286.3;67 673.83;71 398.95;75 313.09;76 611.93;80 615.4;88 304.09
Вторичный рынок жилья;        Тюменская область;;4 533.97;4 589.33;4 616.62;5 310.71;5 662.3;6 647.19;8 267.93;9 373.89;10 363.01;10 577.54;11 173.62;11 192.74;15 364.56;15 222.94;15 298.94;15 278.7;15 294.57;15 718.49;16 292.05;16 871.13;18 687.86;19 322.44;22 000.65;23 797.93;25 156.71;27 406.76;34 609.86;41 514.89;49 427.18;50 834.55;51 053.52;50 898.49;48 767.03;49 256.88;49 800.03;49 651.73;47 311.59;46 289.99;45 794.83;45 957.04;47 081.07;47 022.45;46 889.4;47 151.09;45 168.86;45 475.93;46 123.87;47 167.7;49 299.48;50 295.77;51 448.01;52 972.17;52 189.68;53 592.55;54 033.33;54 287.71;55 603.29;60 082.87;59 512.87;58 239.09;61 420.54;60 619.26;59 793.07;58 225.82;56 092.1;55 365.13;54 027.62;53 896.31;50 551.33;52 203.14;49 973.15;49 867.93;52 413.32;52 075.3;52 033.06;54 813.4;51 282.84;50 590.01;51 684.36;52 405.31;58 770.52;59 543.44;61 693.14;62 199.13;65 583.83;66 991.05;66 274.94;68 438.45;94 289.27
Вторичный рынок жилья;            Ханты-Мансийский автономный округ - Югра (Тюменская область);;5 955.61;6 596.87;8 342.91;9 363.62;12 032.65;13 126.87;15 018.86;16 616.73;18 407.33;18 566.66;18 750.14;18 434.23;19 028.68;18 630.61;18 687.16;18 561.09;17 801.37;17 901.88;18 088.17;18 102.13;18 164.94;18 558.54;21 199.55;22 780.43;24 424.97;29 429.69;37 326.25;44 261.32;52 360.79;52 606.99;52 628.72;52 808.36;51 738.58;52 403.37;53 264.61;53 004.75;48 466.64;46 929.06;46 240.88;46 777.58;50 337.23;50 465.72;50 463.57;50 642.04;45 456.34;45 930.29;46 802.59;47 964.36;50 770.98;51 999.01;53 257.42;55 009.44;54 588.97;57 362.23;57 571.95;57 835.4;57 457.03;59 960.79;58 390.88;58 970.2;59 331.09;58 741.09;58 937.01;57 917.88;49 996.55;48 715.56;48 343.24;48 621.83;49 673.94;48 301.77;48 827.37;49 096.08;54 743.31;55 597.23;56 573.4;56 843.57;59 009.71;59 729.65;60 751.6;61 718.84;60 731.85;63 478.87;65 699.71;65 006.86;75 618.56;77 643.4;75 085.11;79 601.24;95 412.3
Вторичный рынок жилья;            Ямало-Ненецкий автономный округ (Тюменская область);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46 228.13;49 358.85;49 403.68;49 569.26;49 428.14;50 081.58;51 449.94;50 598.33;50 400.02;48 964.72;48 719.58;49 484.7;54 632.11;54 164.46;54 356.04;54 944.32;42 939.41;42 939.41;42 827.19;43 108.42;45 045.09;45 643.08;45 821.64;46 714.33;44 017.48;45 669.4;47 148.22;47 451.26;52 037.74;58 393.42;58 651.68;58 268.53;60 384.87;60 591.61;60 465.18;60 452.78;59 507.92;59 359.69;58 476.98;56 940.02;48 616.07;48 292.95;48 075.46;48 563.69;53 044.18;53 379.71;57 014.21;56 165.61;54 702.78;54 702.78;54 702.78;54 702.78;;;;;47 553.2;49 487.36;50 042.05;61 111;91 442.81
Вторичный рынок жилья;            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51 555.61;51 555.61;52 010.37;52 243.45;54 268.73;60 858.15;61 399.16;57 199.89;62 148.81;61 175.97;59 972.59;58 075.17;57 044.11;56 392.76;54 864.03;54 716.51;50 740.21;52 833.8;50 191.76;50 016.35;52 077.6;51 550.01;51 188.19;54 480.1;49 051.7;47 945.21;49 150.35;49 870.4;58 001.16;57 839.83;59 919.2;60 753.37;64 323.84;65 362.25;65 240.35;64 771.39;87 022.17
Вторичный рынок жилья;        Челябинская область;;3 748.41;3 784.05;3 883.22;3 950.98;4 757.15;5 193.09;5 480.41;6 129.81;7 072.18;8 083.51;8 603.75;9 008.09;9 008.43;9 215.28;9 875.76;10 902.75;11 125.29;11 907.67;12 673.86;13 839.2;16 095.23;16 403.69;19 041.4;21 779.45;21 138.43;21 939.62;23 340.24;25 221.2;25 890.41;27 183.96;28 477.76;30 484.72;30 805.48;31 995.24;33 491.23;33 323.25;32 936.49;30 833.52;29 036.58;28 320.58;29 309.24;28 807.47;29 477.99;30 515.89;29 024.19;29 458.71;29 118.12;29 879.83;29 300.73;29 119.52;29 663.04;29 644.41;31 194.06;31 588.99;31 996.09;32 747.62;33 491.97;34 718.18;34 821.74;35 055.86;41 618.35;40 860.26;40 926.31;38 667.62;37 099.91;37 244.04;37 388.11;36 845.76;38 846.38;37 808.54;38 315.56;38 153;37 160.18;37 245.65;38 006.9;37 950.36;35 460.9;35 623.93;35 204.59;34 626.06;33 798.58;35 410.09;33 941.42;33 123.13;39 085.13;40 163.08;44 910.09;46 607.61;67 020.87
